id,Typology,Subtype,GFA,A1-A3,A4-A5,"B2,B4",C1-C4,D,FSI,SOC_avg,duplicate_of
A_1,Apartments,Apartment,3720.96,444.427210975524,38.12341864608776,86.90139259019855,40.27383046455353,-81.10760014785124,10.660676835627271,5.512720649868134,
A_2,Apartments,Apartment,4078.0,444.4594618072151,38.12618515526606,86.9076987796418,40.276753023064344,-81.11348589808586,10.660676835627271,5.512720649868134,A_1
T_1,Townhouses,Townhouse,123.0,196.35938804453437,64.3339441467097,29.039944920731703,64.5936347220118,-53.0928936601261,2.2777777777777777,25.80117073170732,
T_2,Townhouses,Townhouse,125.0,181.92793484107216,74.38274748897535,21.2235943,71.57667248858374,-48.092968614194945,1.5822784810126582,37.142218666666665,
T_3,Townhouses,Townhouse,134.0,237.42183155864143,85.09360018147841,30.12226958208955,88.08977559627024,-57.61982805982778,1.34,43.85771144278607,
T_4,Townhouses,Townhouse,887.0,211.28039131321128,24.71538559497079,39.72777436308982,31.636921780417136,-23.17701877629868,4.119029265076018,14.267762997369411,
DD_1,Detached,2-storey Detached,106.0,173.85450474922246,35.41070414503098,72.7537952397411,74.22186864256781,-17.797839922522506,1.3787721123829346,42.62439949685534,
DD_2,Detached,2-storey Detached,186.0,180.79701525695253,24.56231381421042,54.25044517188704,32.83033332553028,-31.18265460838851,2.147235722614086,27.369763232974915,
DD_3,Detached,2-storey Detached,194.0,159.75565900470244,35.606830974283,30.67815445528946,36.14526070554428,-19.539275946808417,1.6879839902549376,34.81628597938145,
DD_4,Detached,2-storey Detached,190.0,157.32687882981003,31.805100510295407,59.60097389035251,64.14678803861857,-31.9666407814128,1.1564915697851361,50.81691459649122,
SD_1,Detached,1-storey Detached,113.0,229.3935299757306,37.48645393499754,78.11596688344602,50.950430442766034,-38.947885688008085,0.9645753307725138,60.927676106194696,
SD_2,Detached,1-storey Detached,119.95,88.34177296618816,23.595353433825665,45.958354567058606,38.32007353998129,-25.778413221664668,0.9999166388796266,58.774232819230235,
SD_3,Detached,1-storey Detached,146.0,148.0429629345861,29.099597215632308,28.488045165332075,57.148747169479265,-20.815315536385512,0.9858869606320481,59.61062036529681,
SD_4,Detached,1-storey Detached,75.0,199.08499881021365,26.773439343641726,49.975459061799334,38.782383123735876,-21.267855039119503,1.0,58.769333333333336,
SD_5,Detached,1-storey Detached,194.0,158.96984532069126,31.162847001714653,67.7725914742485,46.51496202764899,-35.54294337901699,0.8917900156293096,65.90041635738831,
SD_6,Detached,1-storey Detached,166.0,169.22827589988486,35.31080469648085,117.50372094138565,61.264631152715495,-59.16581050193395,0.9155589873696983,64.18956522088354,
