Typology,Material,Stage,kgCO2e_per_m2
Detached,CONCRETE (incl. reinforced),A1-A3,31.290610670645812
Detached,CONCRETE (incl. reinforced),A4-A5,2.830817390715154
Detached,CONCRETE (incl. reinforced),"B2,B4",0.0
Detached,CONCRETE (incl. reinforced),C1-C4,3.932485625076786
Detached,CONCRETE (incl. reinforced),D,-0.14973186886308615
Townhouses,CONCRETE (incl. reinforced),A1-A3,69.27587278402507
Townhouses,CONCRETE (incl. reinforced),A4-A5,5.005736628975356
Townhouses,CONCRETE (incl. reinforced),"B2,B4",0.0
Townhouses,CONCRETE (incl. reinforced),C1-C4,5.840837378771866
Townhouses,CONCRETE (incl. reinforced),D,-2.384596623085674
Apartments,CONCRETE (incl. reinforced),A1-A3,195.40334690361132
Apartments,CONCRETE (incl. reinforced),A4-A5,15.554332294176522
Apartments,CONCRETE (incl. reinforced),"B2,B4",0.0
Apartments,CONCRETE (incl. reinforced),C1-C4,13.784632696194603
Apartments,CONCRETE (incl. reinforced),D,-7.298757002216037
Detached,STEEL,A1-A3,43.746845858675215
Detached,STEEL,A4-A5,1.449595351292548
Detached,STEEL,"B2,B4",27.866403029823147
Detached,STEEL,C1-C4,0.9363429418918982
Detached,STEEL,D,-16.86437385588585
Townhouses,STEEL,A1-A3,27.193258614295313
Townhouses,STEEL,A4-A5,0.602050205463073
Townhouses,STEEL,"B2,B4",3.920707475114285
Townhouses,STEEL,C1-C4,0.6727200235766115
Townhouses,STEEL,D,-8.515532715897912
Apartments,STEEL,A1-A3,181.12734290908816
Apartments,STEEL,A4-A5,8.82696115342284
Apartments,STEEL,"B2,B4",18.285027649021266
Apartments,STEEL,C1-C4,6.983635891728335
Apartments,STEEL,D,-66.74071805559073
Detached,TIMBER,A1-A3,25.43738999849101
Detached,TIMBER,A4-A5,15.674704226766304
Detached,TIMBER,"B2,B4",0.0
Detached,TIMBER,C1-C4,35.99672974521157
Detached,TIMBER,D,-6.543806949872268
Townhouses,TIMBER,A1-A3,25.882063840715773
Townhouses,TIMBER,A4-A5,41.28631927798737
Townhouses,TIMBER,"B2,B4",0.0
Townhouses,TIMBER,C1-C4,44.818558472919165
Townhouses,TIMBER,D,-13.16097417816351
Apartments,TIMBER,A1-A3,2.0347926434200794
Apartments,TIMBER,A4-A5,2.751203813245323
Apartments,TIMBER,"B2,B4",0.0
Apartments,TIMBER,C1-C4,6.964117149151864
Apartments,TIMBER,D,-1.4458225688725312
Detached,PLASTICS & PAINT,A1-A3,18.914384846251245
Detached,PLASTICS & PAINT,A4-A5,2.4932059963792073
Detached,PLASTICS & PAINT,"B2,B4",25.290904397727083
Detached,PLASTICS & PAINT,C1-C4,2.421153182796284
Detached,PLASTICS & PAINT,D,-0.2499932424928632
Townhouses,PLASTICS & PAINT,A1-A3,15.772082568690905
Townhouses,PLASTICS & PAINT,A4-A5,2.444226276975587
Townhouses,PLASTICS & PAINT,"B2,B4",25.13892716202301
Townhouses,PLASTICS & PAINT,C1-C4,1.6310047891633963
Townhouses,PLASTICS & PAINT,D,-0.19708189206863916
Apartments,PLASTICS & PAINT,A1-A3,10.541155747221936
Apartments,PLASTICS & PAINT,A4-A5,1.4431266125090858
Apartments,PLASTICS & PAINT,"B2,B4",26.57347620982386
Apartments,PLASTICS & PAINT,C1-C4,2.8033964715073916
Apartments,PLASTICS & PAINT,D,-0.02615923910964931
Detached,PLASTERBOARD,A1-A3,6.554820644224648
Detached,PLASTERBOARD,A4-A5,2.543986834284865
Detached,PLASTERBOARD,"B2,B4",0.0
Detached,PLASTERBOARD,C1-C4,5.9572253095061
Detached,PLASTERBOARD,D,0.0
Townhouses,PLASTERBOARD,A1-A3,11.214945150181745
Townhouses,PLASTERBOARD,A4-A5,4.4091401587293175
Townhouses,PLASTERBOARD,"B2,B4",0.0
Townhouses,PLASTERBOARD,C1-C4,9.499058107074147
Townhouses,PLASTERBOARD,D,0.0
Apartments,PLASTERBOARD,A1-A3,11.814428893446376
Apartments,PLASTERBOARD,A4-A5,4.359567660507754
Apartments,PLASTERBOARD,"B2,B4",0.0
Apartments,PLASTERBOARD,C1-C4,9.033704931190872
Apartments,PLASTERBOARD,D,0.0
Detached,OTHERS,A1-A3,40.77782070407256
Detached,OTHERS,A4-A5,6.2165168498971255
Detached,OTHERS,"B2,B4",6.3209585082143835
Detached,OTHERS,C1-C4,1.0891968225772315
Detached,OTHERS,D,-5.546080770788185
Townhouses,OTHERS,A1-A3,57.40916348145601
Townhouses,OTHERS,A4-A5,8.383946804902862
Townhouses,OTHERS,"B2,B4",0.9687611543404735
Townhouses,OTHERS,C1-C4,1.5120723753155474
Townhouses,OTHERS,D,-21.23749186839614
Apartments,OTHERS,A1-A3,43.522269294581704
Apartments,OTHERS,A4-A5,5.189610366815385
Apartments,OTHERS,"B2,B4",42.046041826075054
Apartments,OTHERS,C1-C4,0.7058046040358688
Apartments,OTHERS,D,-5.5990861571796025
