,gfa_5,gfa_50,gfa_95,carbon_5,carbon_50,carbon_95
2025,213333.97922763013,494201.9838120877,906135.1512282288,80745942.01943322,189588527.52999878,348248032.30190617
2026,2651660.740364742,3638406.590309894,5036405.497047963,1014797343.7876152,1394713080.5508833,1951225999.5269394
2027,2162901.8223873745,3635549.670879247,5437331.762960421,830313383.637383,1400252197.0795808,2111776246.8891394
2028,2517728.821056624,3628272.3254350694,4882692.796952359,969384538.8491424,1396294877.3544497,1902668953.7508476
2029,2732719.4918081905,3680273.2217128407,4822303.252152752,1052704784.1444495,1419873695.8070807,1881263183.635904
2030,2835651.748266618,3723975.685536322,4822680.545324429,1094354310.213116,1437390149.341477,1885308929.8212464
2031,2876734.7091984963,3726151.3823730145,4775592.93571906,1112217664.5903943,1439031128.9232125,1865822743.5301268
2032,2855139.393826781,3674498.0724655436,4674055.622771452,1104502347.4076812,1420124034.9815807,1824645498.4527845
2033,2769565.872908873,3567975.198210158,4504260.156140644,1072758396.8624128,1380181499.2204485,1759977528.2914696
2034,2709805.8236904233,3484239.994016854,4337662.905382225,1049782711.1947088,1346484786.6497831,1697847593.1603107
2035,2687962.369890492,3440475.916332945,4228638.517129368,1042354453.8075052,1330407138.750045,1658404919.0658033
2036,2635665.784283854,3378618.59336524,4152454.1556361513,1021794929.2641696,1306397310.7515306,1627089795.242599
2037,2553963.7748908997,3299261.1623537643,4090547.3143131393,990743966.8554142,1277313235.0660782,1603983499.8963244
2038,2445121.956483983,3208694.159319854,4066451.8918313375,946965358.0516413,1242409060.3847146,1593435364.845664
2039,2374244.7501843125,3136682.7869439274,4068735.6173511827,921403021.0895735,1214739541.4213567,1589098569.233405
2040,2352175.9026601864,3089346.9497351255,4038054.1638508774,910417637.6244663,1197086415.8127913,1576064803.8735743
2041,2302040.52505686,3029906.3696147357,3978391.930698077,891387576.0294079,1174130111.230138,1552164452.1100607
2042,2228197.0123507753,2957652.8517285963,3889505.3470805315,862478114.4808166,1146061020.5121946,1517893514.2903664
2043,2128457.295760469,2875338.6965139243,3775563.2806993993,824062781.4757856,1114084912.4752622,1478458045.0413094
2044,2068986.7600337598,2829692.3302544053,3684954.3707738016,802515468.2793022,1096241027.8660219,1442706394.4817638
2045,2033501.3198231685,2798255.0428643613,3625328.6276064804,788955919.7812535,1083720179.3093312,1422693793.4209437
2046,2002273.4724400586,2776545.372419984,3597537.72162822,776858063.1651515,1075643842.1489577,1412212236.0846834
2047,1975565.566081281,2762833.044051079,3593751.473961951,766466945.6572291,1071159867.7252848,1411089718.1409056
2048,1946812.2359584623,2758361.1376253753,3618918.591353864,755716399.9277517,1069673961.8526173,1420237128.6382737
2049,1911460.599545479,2760470.238789582,3657979.8621902084,741790322.778195,1069323597.5201477,1432235500.811835
2050,1874132.9374236523,2758686.6349908137,3681493.679178253,727986711.5787691,1067188307.1377094,1442613468.7937636
